"Start Time","End Time","Duration"
"July 30, 2019 at 12:10AM","July 30, 2019 at 12:21AM",645
"July 30, 2019 at 01:48AM","July 30, 2019 at 01:54AM",360
"July 30, 2019 at 03:11PM","July 30, 2019 at 03:22PM",645
"July 30, 2019 at 04:48PM","July 30, 2019 at 04:58PM",557
"July 30, 2019 at 06:30PM","July 30, 2019 at 06:32PM",151
"July 30, 2019 at 09:45PM","July 30, 2019 at 09:52PM",430
"July 30, 2019 at 11:21PM","July 30, 2019 at 11:31PM",638
"July 31, 2019 at 12:58AM","July 31, 2019 at 01:07AM",515
"July 31, 2019 at 02:22PM","July 31, 2019 at 02:32PM",611
"July 31, 2019 at 03:59PM","July 31, 2019 at 04:09PM",609
"July 31, 2019 at 05:39PM","July 31, 2019 at 05:44PM",309
"July 31, 2019 at 08:56PM","July 31, 2019 at 09:01PM",322
"July 31, 2019 at 10:31PM","July 31, 2019 at 10:42PM",609
"August 01, 2019 at 12:08AM","August 01, 2019 at 12:18AM",596
"August 01, 2019 at 03:09PM","August 01, 2019 at 03:19PM",641
"August 01, 2019 at 04:48PM","August 01, 2019 at 04:55PM",420
"August 01, 2019 at 08:07PM","August 01, 2019 at 08:10PM",174
"August 01, 2019 at 09:42PM","August 01, 2019 at 09:52PM",561
"August 01, 2019 at 11:18PM","August 01, 2019 at 11:29PM",636
"August 02, 2019 at 12:45PM","August 02, 2019 at 12:52PM",402
"August 02, 2019 at 02:19PM","August 02, 2019 at 02:30PM",651
"August 02, 2019 at 03:58PM","August 02, 2019 at 04:06PM",507
"August 02, 2019 at 08:53PM","August 02, 2019 at 09:01PM",492
"August 02, 2019 at 10:29PM","August 02, 2019 at 10:40PM",646
"August 03, 2019 at 12:07AM","August 03, 2019 at 12:14AM",417
"August 03, 2019 at 01:30PM","August 03, 2019 at 01:41PM",638
"August 03, 2019 at 03:07PM","August 03, 2019 at 03:17PM",573
"August 03, 2019 at 04:49PM","August 03, 2019 at 04:52PM",205
"August 03, 2019 at 08:04PM","August 03, 2019 at 08:11PM",403
"August 03, 2019 at 09:40PM","August 03, 2019 at 09:50PM",633
"August 03, 2019 at 11:17PM","August 03, 2019 at 11:26PM",544
"August 04, 2019 at 12:41PM","August 04, 2019 at 12:51PM",595
"August 04, 2019 at 02:18PM","August 04, 2019 at 02:28PM",620
"August 04, 2019 at 03:58PM","August 04, 2019 at 04:03PM",343
"August 04, 2019 at 07:15PM","August 04, 2019 at 07:20PM",289
"August 04, 2019 at 08:51PM","August 04, 2019 at 09:01PM",599
"August 04, 2019 at 10:27PM","August 04, 2019 at 10:37PM",611
"August 05, 2019 at 11:53AM","August 05, 2019 at 12:01PM",509
"August 05, 2019 at 01:28PM","August 05, 2019 at 01:39PM",646
"August 05, 2019 at 03:07PM","August 05, 2019 at 03:14PM",447
"August 05, 2019 at 06:27PM","August 05, 2019 at 06:29PM",116
"August 05, 2019 at 08:01PM","August 05, 2019 at 08:11PM",545
"August 05, 2019 at 09:38PM","August 05, 2019 at 09:48PM",642
"August 05, 2019 at 11:17PM","August 05, 2019 at 11:21PM",234
"August 06, 2019 at 12:38PM","August 06, 2019 at 12:49PM",650
"August 06, 2019 at 02:17PM","August 06, 2019 at 02:25PM",527
"August 06, 2019 at 07:12PM","August 06, 2019 at 07:20PM",471
"August 06, 2019 at 08:48PM","August 06, 2019 at 08:59PM",645
"August 06, 2019 at 10:26PM","August 06, 2019 at 10:34PM",462
"August 07, 2019 at 11:49AM","August 07, 2019 at 12:00PM",629
"August 07, 2019 at 01:26PM","August 07, 2019 at 01:36PM",588
"August 07, 2019 at 03:07PM","August 07, 2019 at 03:11PM",250
"August 07, 2019 at 06:23PM","August 07, 2019 at 06:30PM",375
"August 07, 2019 at 07:59PM","August 07, 2019 at 08:09PM",626
"August 07, 2019 at 09:36PM","August 07, 2019 at 09:45PM",568
"August 08, 2019 at 11:01AM","August 08, 2019 at 11:10AM",575
"August 08, 2019 at 12:37PM","August 08, 2019 at 12:47PM",629
"August 08, 2019 at 02:16PM","August 08, 2019 at 02:22PM",376
"August 08, 2019 at 05:35PM","August 08, 2019 at 05:39PM",251
"August 08, 2019 at 07:10PM","August 08, 2019 at 07:19PM",586
"August 08, 2019 at 08:46PM","August 08, 2019 at 08:56PM",624
"August 09, 2019 at 10:12AM","August 09, 2019 at 10:20AM",473
"August 09, 2019 at 11:47AM","August 09, 2019 at 11:58AM",649
"August 09, 2019 at 01:26PM","August 09, 2019 at 01:33PM",472
"August 09, 2019 at 06:21PM","August 09, 2019 at 06:29PM",527
"August 09, 2019 at 07:57PM","August 09, 2019 at 08:07PM",646
"August 09, 2019 at 09:35PM","August 09, 2019 at 09:41PM",325
"August 10, 2019 at 10:58AM","August 10, 2019 at 11:08AM",647
"August 10, 2019 at 12:35PM","August 10, 2019 at 12:44PM",547
"August 10, 2019 at 02:17PM","August 10, 2019 at 02:19PM",117
"August 10, 2019 at 05:31PM","August 10, 2019 at 05:39PM",447
"August 10, 2019 at 07:07PM","August 10, 2019 at 07:18PM",643
"August 10, 2019 at 08:45PM","August 10, 2019 at 08:53PM",500
"August 11, 2019 at 10:08AM","August 11, 2019 at 10:19AM",617
"August 11, 2019 at 11:45AM","August 11, 2019 at 11:55AM",602
"August 11, 2019 at 01:26PM","August 11, 2019 at 01:30PM",290
"August 11, 2019 at 04:43PM","August 11, 2019 at 04:48PM",345
"August 11, 2019 at 06:18PM","August 11, 2019 at 06:28PM",618
"August 11, 2019 at 07:55PM","August 11, 2019 at 08:04PM",589
"August 12, 2019 at 09:20AM","August 12, 2019 at 09:29AM",552
"August 12, 2019 at 10:55AM","August 12, 2019 at 11:06AM",637
"August 12, 2019 at 12:35PM","August 12, 2019 at 12:41PM",406
"August 12, 2019 at 03:54PM","August 12, 2019 at 03:57PM",208
"August 12, 2019 at 05:29PM","August 12, 2019 at 05:39PM",574
"August 12, 2019 at 07:06PM","August 12, 2019 at 07:16PM",634
"August 13, 2019 at 10:07AM","August 13, 2019 at 10:17AM",650
"August 13, 2019 at 11:45AM","August 13, 2019 at 11:53AM",493
"August 13, 2019 at 04:40PM","August 13, 2019 at 04:49PM",509
"August 13, 2019 at 06:16PM","August 13, 2019 at 06:27PM",649
"August 13, 2019 at 07:55PM","August 13, 2019 at 08:01PM",387
"August 14, 2019 at 09:17AM","August 14, 2019 at 09:28AM",641
"August 14, 2019 at 10:55AM","August 14, 2019 at 11:04AM",562
"August 14, 2019 at 12:36PM","August 14, 2019 at 12:39PM",174
"August 14, 2019 at 03:51PM","August 14, 2019 at 03:58PM",425
"August 14, 2019 at 05:27PM","August 14, 2019 at 05:38PM",640
"August 14, 2019 at 07:04PM","August 14, 2019 at 07:13PM",530
"August 15, 2019 at 08:28AM","August 15, 2019 at 08:38AM",604
"August 15, 2019 at 10:05AM","August 15, 2019 at 10:15AM",612
"August 15, 2019 at 11:45AM","August 15, 2019 at 11:50AM",322
"August 15, 2019 at 03:03PM","August 15, 2019 at 03:08PM",316
"August 15, 2019 at 04:38PM","August 15, 2019 at 04:48PM",609
"August 15, 2019 at 06:14PM","August 15, 2019 at 06:25PM",605
"August 16, 2019 at 09:15AM","August 16, 2019 at 09:26AM",642
"August 16, 2019 at 10:54AM","August 16, 2019 at 11:02AM",430
"August 16, 2019 at 02:14PM","August 16, 2019 at 02:17PM",165
"August 16, 2019 at 03:49PM","August 16, 2019 at 03:58PM",559
"August 16, 2019 at 05:25PM","August 16, 2019 at 05:36PM",641
"August 16, 2019 at 07:05PM","August 16, 2019 at 07:07PM",153
"August 17, 2019 at 06:52AM","August 17, 2019 at 06:58AM",380
"August 17, 2019 at 08:26AM","August 17, 2019 at 08:37AM",650
"August 17, 2019 at 10:04AM","August 17, 2019 at 10:13AM",514
"August 17, 2019 at 03:00PM","August 17, 2019 at 03:08PM",489
"August 17, 2019 at 04:35PM","August 17, 2019 at 04:46PM",649
"August 17, 2019 at 06:13PM","August 17, 2019 at 06:21PM",438
"August 18, 2019 at 07:37AM","August 18, 2019 at 07:47AM",634
"August 18, 2019 at 09:14AM","August 18, 2019 at 09:24AM",577
"August 18, 2019 at 10:55AM","August 18, 2019 at 10:58AM",222
"August 18, 2019 at 02:11PM","August 18, 2019 at 02:17PM",398
"August 18, 2019 at 03:46PM","August 18, 2019 at 03:57PM",634
"August 18, 2019 at 05:23PM","August 18, 2019 at 05:33PM",556
"August 19, 2019 at 06:48AM","August 19, 2019 at 06:58AM",586
"August 19, 2019 at 08:24AM","August 19, 2019 at 08:34AM",622
"August 19, 2019 at 10:04AM","August 19, 2019 at 10:10AM",354
"August 19, 2019 at 01:22PM","August 19, 2019 at 01:27PM",281
"August 19, 2019 at 02:57PM","August 19, 2019 at 03:07PM",598
"August 19, 2019 at 04:34PM","August 19, 2019 at 04:44PM",619
"August 20, 2019 at 05:59AM","August 20, 2019 at 06:08AM",495
"August 20, 2019 at 07:34AM","August 20, 2019 at 07:45AM",646
"August 20, 2019 at 09:13AM","August 20, 2019 at 09:21AM",454
"August 20, 2019 at 12:34PM","August 20, 2019 at 12:35PM",99
"August 20, 2019 at 02:08PM","August 20, 2019 at 02:17PM",542
"August 20, 2019 at 03:44PM","August 20, 2019 at 03:55PM",647
"August 20, 2019 at 05:23PM","August 20, 2019 at 05:28PM",276
"August 21, 2019 at 06:45AM","August 21, 2019 at 06:56AM",647
"August 21, 2019 at 08:23AM","August 21, 2019 at 08:32AM",533
"August 21, 2019 at 01:19PM","August 21, 2019 at 01:27PM",466
"August 21, 2019 at 02:55PM","August 21, 2019 at 03:05PM",648
"August 21, 2019 at 04:32PM","August 21, 2019 at 04:40PM",479
"August 22, 2019 at 05:56AM","August 22, 2019 at 06:06AM",623
"August 22, 2019 at 07:33AM","August 22, 2019 at 07:43AM",591
"August 22, 2019 at 09:13AM","August 22, 2019 at 09:18AM",262
"August 22, 2019 at 12:30PM","August 22, 2019 at 12:36PM",369
"August 22, 2019 at 02:05PM","August 22, 2019 at 02:16PM",626
"August 22, 2019 at 03:42PM","August 22, 2019 at 03:52PM",578
"August 23, 2019 at 05:07AM","August 23, 2019 at 05:17AM",566
"August 23, 2019 at 06:43AM","August 23, 2019 at 06:54AM",630
"August 23, 2019 at 08:23AM","August 23, 2019 at 08:29AM",384
"August 23, 2019 at 11:41AM","August 23, 2019 at 11:45AM",242
"August 23, 2019 at 01:16PM","August 23, 2019 at 01:26PM",585
"August 23, 2019 at 02:53PM","August 23, 2019 at 03:03PM",630
"August 24, 2019 at 04:19AM","August 24, 2019 at 04:26AM",456
"August 24, 2019 at 05:54AM","August 24, 2019 at 06:04AM",648
"August 24, 2019 at 07:32AM","August 24, 2019 at 07:40AM",477
"August 24, 2019 at 12:27PM","August 24, 2019 at 12:36PM",523
"August 24, 2019 at 02:03PM","August 24, 2019 at 02:14PM",650
"August 24, 2019 at 03:42PM","August 24, 2019 at 03:48PM",353
"August 25, 2019 at 05:11AM","August 25, 2019 at 05:21AM",646
"August 25, 2019 at 06:48AM","August 25, 2019 at 06:57AM",535
"August 25, 2019 at 08:31AM","August 25, 2019 at 08:32AM",67
"August 25, 2019 at 11:45AM","August 25, 2019 at 11:52AM",467
"August 25, 2019 at 01:20PM","August 25, 2019 at 01:31PM",651
"August 25, 2019 at 02:58PM","August 25, 2019 at 03:06PM",489
"August 26, 2019 at 04:22AM","August 26, 2019 at 04:32AM",621
"August 26, 2019 at 05:59AM","August 26, 2019 at 06:09AM",591
"August 26, 2019 at 07:40AM","August 26, 2019 at 07:44AM",265
"August 26, 2019 at 10:56AM","August 26, 2019 at 11:02AM",371
"August 26, 2019 at 12:32PM","August 26, 2019 at 12:42PM",629
"August 26, 2019 at 02:09PM","August 26, 2019 at 02:18PM",583
"August 27, 2019 at 03:34AM","August 27, 2019 at 03:43AM",564
"August 27, 2019 at 05:10AM","August 27, 2019 at 05:20AM",628
"August 27, 2019 at 06:50AM","August 27, 2019 at 06:56AM",382
"August 27, 2019 at 10:08AM","August 27, 2019 at 10:12AM",248
"August 27, 2019 at 11:43AM","August 27, 2019 at 11:53AM",588
"August 27, 2019 at 01:20PM","August 27, 2019 at 01:30PM",633
"August 28, 2019 at 02:46AM","August 28, 2019 at 02:54AM",458
"August 28, 2019 at 04:21AM","August 28, 2019 at 04:32AM",646
"August 28, 2019 at 06:00AM","August 28, 2019 at 06:08AM",474
"August 28, 2019 at 10:55AM","August 28, 2019 at 11:04AM",528
"August 28, 2019 at 12:31PM","August 28, 2019 at 12:42PM",653
"August 28, 2019 at 02:09PM","August 28, 2019 at 02:15PM",350
"August 29, 2019 at 02:00AM","August 29, 2019 at 02:04AM",234
"August 29, 2019 at 03:32AM","August 29, 2019 at 03:43AM",642
"August 29, 2019 at 05:10AM","August 29, 2019 at 05:19AM",545
"August 29, 2019 at 06:52AM","August 29, 2019 at 06:54AM",119
"August 29, 2019 at 10:06AM","August 29, 2019 at 10:14AM",450
"August 29, 2019 at 11:42AM","August 29, 2019 at 11:53AM",648
"August 29, 2019 at 01:20PM","August 29, 2019 at 01:28PM",511
"August 30, 2019 at 02:44AM","August 30, 2019 at 02:54AM",612
"August 30, 2019 at 04:21AM","August 30, 2019 at 04:31AM",598
"August 30, 2019 at 06:01AM","August 30, 2019 at 06:06AM",287
"August 30, 2019 at 09:18AM","August 30, 2019 at 09:24AM",349
"August 30, 2019 at 10:54AM","August 30, 2019 at 11:04AM",623
"August 30, 2019 at 12:30PM","August 30, 2019 at 12:40PM",595
"August 31, 2019 at 01:56AM","August 31, 2019 at 02:05AM",548
"August 31, 2019 at 03:32AM","August 31, 2019 at 03:42AM",632
"August 31, 2019 at 05:11AM","August 31, 2019 at 05:18AM",399
"August 31, 2019 at 08:30AM","August 31, 2019 at 08:34AM",217
"August 31, 2019 at 10:05AM","August 31, 2019 at 10:15AM",578
"August 31, 2019 at 11:41AM","August 31, 2019 at 11:52AM",639
"September 01, 2019 at 02:43AM","September 01, 2019 at 02:53AM",646
"September 01, 2019 at 04:21AM","September 01, 2019 at 04:29AM",487
"September 01, 2019 at 09:17AM","September 01, 2019 at 09:25AM",514
"September 01, 2019 at 10:53AM","September 01, 2019 at 11:03AM",653
"September 01, 2019 at 12:31PM","September 01, 2019 at 12:37PM",390
"September 02, 2019 at 12:22AM","September 02, 2019 at 12:24AM",138
"September 02, 2019 at 01:54AM","September 02, 2019 at 02:05AM",638
"September 02, 2019 at 03:32AM","September 02, 2019 at 03:41AM",556
"September 02, 2019 at 05:13AM","September 02, 2019 at 05:16AM",157
"September 02, 2019 at 08:28AM","September 02, 2019 at 08:35AM",431
"September 02, 2019 at 10:04AM","September 02, 2019 at 10:15AM",644
"September 02, 2019 at 11:41AM","September 02, 2019 at 11:50AM",530
"September 03, 2019 at 01:06AM","September 03, 2019 at 01:16AM",603
"September 03, 2019 at 02:42AM","September 03, 2019 at 02:52AM",605
"September 03, 2019 at 04:23AM","September 03, 2019 at 04:28AM",308
"September 03, 2019 at 07:40AM","September 03, 2019 at 07:45AM",326
"September 03, 2019 at 09:15AM","September 03, 2019 at 09:25AM",615
"September 03, 2019 at 10:52AM","September 03, 2019 at 11:02AM",605
"September 04, 2019 at 12:18AM","September 04, 2019 at 12:27AM",530
"September 04, 2019 at 01:53AM","September 04, 2019 at 02:04AM",636
"September 04, 2019 at 03:32AM","September 04, 2019 at 03:39AM",416
"September 04, 2019 at 06:52AM","September 04, 2019 at 06:55AM",182
"September 04, 2019 at 08:27AM","September 04, 2019 at 08:36AM",567
"September 04, 2019 at 10:03AM","September 04, 2019 at 10:14AM",643
"September 04, 2019 at 11:44AM","September 04, 2019 at 11:45AM",102
"September 04, 2019 at 11:30PM","September 04, 2019 at 11:37PM",394
"September 05, 2019 at 01:04AM","September 05, 2019 at 01:15AM",645
"September 05, 2019 at 02:43AM","September 05, 2019 at 02:51AM",500
"September 05, 2019 at 07:38AM","September 05, 2019 at 07:47AM",499
"September 05, 2019 at 09:14AM","September 05, 2019 at 09:25AM",653
"September 05, 2019 at 10:52AM","September 05, 2019 at 10:59AM",424
"September 06, 2019 at 12:16AM","September 06, 2019 at 12:26AM",632
"September 06, 2019 at 01:53AM","September 06, 2019 at 02:03AM",565
"September 06, 2019 at 03:34AM","September 06, 2019 at 03:37AM",188
"September 06, 2019 at 06:50AM","September 06, 2019 at 06:57AM",412
"September 06, 2019 at 08:25AM","September 06, 2019 at 08:36AM",639
"September 06, 2019 at 10:03AM","September 06, 2019 at 10:12AM",548
"September 06, 2019 at 11:27PM","September 06, 2019 at 11:37PM",591
"September 07, 2019 at 01:04AM","September 07, 2019 at 01:14AM",611
"September 07, 2019 at 02:44AM","September 07, 2019 at 02:49AM",329
"September 07, 2019 at 06:02AM","September 07, 2019 at 06:07AM",300
"September 07, 2019 at 07:37AM","September 07, 2019 at 07:47AM",606
"September 07, 2019 at 09:13AM","September 07, 2019 at 09:24AM",614
"September 07, 2019 at 10:39PM","September 07, 2019 at 10:48PM",510
"September 08, 2019 at 12:15AM","September 08, 2019 at 12:25AM",638
"September 08, 2019 at 01:54AM","September 08, 2019 at 02:01AM",432
"September 08, 2019 at 05:14AM","September 08, 2019 at 05:16AM",137
"September 08, 2019 at 06:48AM","September 08, 2019 at 06:58AM",554
"September 08, 2019 at 08:25AM","September 08, 2019 at 08:35AM",646
"September 08, 2019 at 10:04AM","September 08, 2019 at 10:08AM",215
"September 08, 2019 at 09:52PM","September 08, 2019 at 09:58PM",354
"September 08, 2019 at 11:26PM","September 08, 2019 at 11:37PM",644
"September 09, 2019 at 01:04AM","September 09, 2019 at 01:13AM",513
"September 09, 2019 at 06:00AM","September 09, 2019 at 06:08AM",482
"September 09, 2019 at 07:36AM","September 09, 2019 at 07:47AM",651
"September 09, 2019 at 09:14AM","September 09, 2019 at 09:21AM",454
"September 09, 2019 at 10:37PM","September 09, 2019 at 10:48PM",626
"September 10, 2019 at 12:15AM","September 10, 2019 at 12:24AM",575
"September 10, 2019 at 01:55AM","September 10, 2019 at 01:59AM",218
"September 10, 2019 at 05:12AM","September 10, 2019 at 05:18AM",390
"September 10, 2019 at 06:47AM","September 10, 2019 at 06:58AM",633
"September 10, 2019 at 08:24AM","September 10, 2019 at 08:33AM",563
"September 10, 2019 at 09:49PM","September 10, 2019 at 09:59PM",579
"September 10, 2019 at 11:25PM","September 10, 2019 at 11:36PM",617
"September 11, 2019 at 01:05AM","September 11, 2019 at 01:11AM",349
"September 11, 2019 at 04:23AM","September 11, 2019 at 04:28AM",272
"September 11, 2019 at 05:58AM","September 11, 2019 at 06:08AM",596
"September 11, 2019 at 07:35AM","September 11, 2019 at 07:45AM",622
"September 11, 2019 at 09:01PM","September 11, 2019 at 09:09PM",487
"September 11, 2019 at 10:36PM","September 11, 2019 at 10:47PM",641
"September 12, 2019 at 12:15AM","September 12, 2019 at 12:23AM",448
"September 12, 2019 at 05:10AM","September 12, 2019 at 05:19AM",540
"September 12, 2019 at 06:46AM","September 12, 2019 at 06:57AM",648
"September 12, 2019 at 08:25AM","September 12, 2019 at 08:30AM",283
"September 12, 2019 at 09:48PM","September 12, 2019 at 09:58PM",642
"September 12, 2019 at 11:26PM","September 12, 2019 at 11:34PM",526
"September 13, 2019 at 04:22AM","September 13, 2019 at 04:29AM",465
"September 13, 2019 at 05:57AM","September 13, 2019 at 06:08AM",648
"September 13, 2019 at 07:35AM","September 13, 2019 at 07:43AM",480
"September 13, 2019 at 08:59PM","September 13, 2019 at 09:09PM",620
"September 13, 2019 at 10:36PM","September 13, 2019 at 10:46PM",584
"September 14, 2019 at 12:17AM","September 14, 2019 at 12:21AM",245
"September 14, 2019 at 03:33AM","September 14, 2019 at 03:39AM",368
"September 14, 2019 at 05:09AM","September 14, 2019 at 05:19AM",627
"September 14, 2019 at 06:46AM","September 14, 2019 at 06:55AM",577
"September 14, 2019 at 08:11PM","September 14, 2019 at 08:20PM",565
"September 14, 2019 at 09:47PM","September 14, 2019 at 09:57PM",623
"September 14, 2019 at 11:26PM","September 14, 2019 at 11:33PM",369
"September 15, 2019 at 02:45AM","September 15, 2019 at 02:49AM",241
"September 15, 2019 at 04:20AM","September 15, 2019 at 04:30AM",586
"September 15, 2019 at 05:57AM","September 15, 2019 at 06:07AM",628
"September 15, 2019 at 07:23PM","September 15, 2019 at 07:31PM",462
"September 15, 2019 at 08:58PM","September 15, 2019 at 09:09PM",642
"September 15, 2019 at 10:37PM","September 15, 2019 at 10:44PM",464
"September 16, 2019 at 03:32AM","September 16, 2019 at 03:40AM",526
"September 16, 2019 at 05:08AM","September 16, 2019 at 05:18AM",648
"September 16, 2019 at 06:46AM","September 16, 2019 at 06:52AM",335
"September 16, 2019 at 06:36PM","September 16, 2019 at 06:40PM",246
"September 16, 2019 at 08:09PM","September 16, 2019 at 08:20PM",640
"September 16, 2019 at 09:47PM","September 16, 2019 at 09:56PM",538
"September 16, 2019 at 11:29PM","September 16, 2019 at 11:30PM",76
"September 17, 2019 at 02:43AM","September 17, 2019 at 02:51AM",446
"September 17, 2019 at 04:19AM","September 17, 2019 at 04:30AM",644
"September 17, 2019 at 05:56AM","September 17, 2019 at 06:05AM",502
"September 17, 2019 at 07:21PM","September 17, 2019 at 07:31PM",612
"September 17, 2019 at 08:57PM","September 17, 2019 at 09:07PM",593
"September 17, 2019 at 10:38PM","September 17, 2019 at 10:42PM",272
"September 18, 2019 at 01:55AM","September 18, 2019 at 02:01AM",344
"September 18, 2019 at 03:30AM","September 18, 2019 at 03:41AM",619
"September 18, 2019 at 05:07AM","September 18, 2019 at 05:17AM",588
"September 18, 2019 at 06:32PM","September 18, 2019 at 06:42PM",550
"September 18, 2019 at 08:08PM","September 18, 2019 at 08:19PM",628
"September 18, 2019 at 09:48PM","September 18, 2019 at 09:54PM",389
"September 19, 2019 at 01:07AM","September 19, 2019 at 01:10AM",207
"September 19, 2019 at 02:42AM","September 19, 2019 at 02:51AM",574
"September 19, 2019 at 04:18AM","September 19, 2019 at 04:29AM",633
"September 19, 2019 at 05:45PM","September 19, 2019 at 05:52PM",433
"September 19, 2019 at 07:19PM","September 19, 2019 at 07:30PM",644
"September 19, 2019 at 08:58PM","September 19, 2019 at 09:06PM",480
"September 20, 2019 at 01:53AM","September 20, 2019 at 02:02AM",510
"September 20, 2019 at 03:29AM","September 20, 2019 at 03:40AM",648
"September 20, 2019 at 05:08AM","September 20, 2019 at 05:14AM",377
"September 20, 2019 at 06:31PM","September 20, 2019 at 06:41PM",637
"September 20, 2019 at 08:08PM","September 20, 2019 at 08:17PM",550
